,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label
688,org.gjt.sp.jedit.textarea.StandaloneTextArea,jedit.textarea.StandaloneTextArea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
689,org.gjt.sp.jedit.bsh.BSHForStatement,jedit.bsh.BSHForStatement,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Service Provider
690,org.gjt.sp.jedit.bufferio.BufferSaveRequest,jedit.bufferio.BufferSaveRequest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
691,org.gjt.sp.jedit.bsh.BSHSwitchStatement,jedit.bsh.BSHSwitchStatement,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
692,org.gjt.sp.jedit.textarea.TextAreaTransferHandler,jedit.textarea.TextAreaTransferHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
693,org.gjt.sp.jedit.textarea.TextArea,jedit.textarea.TextArea,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Interfacer
694,org.gjt.sp.jedit.bsh.ParseException,jedit.bsh.ParseException,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,Information Holder
695,org.gjt.sp.jedit.browser.VFSBrowser,jedit.browser.VFSBrowser,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Controller
696,org.gjt.sp.jedit.MiscUtilities,jedit.MiscUtilities,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Service Provider
697,org.gjt.sp.jedit.JARClassLoader,jedit.JARClassLoader,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
698,org.jedit.options.OptionGroupPane,jedit.options.OptionGroupPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
699,org.gjt.sp.jedit.GUIUtilities,jedit.GUIUtilities,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Interfacer
700,org.gjt.sp.jedit.gui.KeyEventTranslator,jedit.gui.KeyEventTranslator,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider
701,org.gjt.sp.jedit.gui.ListModelEditor,jedit.gui.ListModelEditor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
702,org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassWriter,jedit.bsh.org.objectweb.asm.ClassWriter,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider
703,org.gjt.sp.jedit.textarea.BufferHandler,jedit.textarea.BufferHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
704,org.gjt.sp.jedit.options.MouseOptionPane,jedit.options.MouseOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
705,org.gjt.sp.jedit.input.TextAreaInputHandler,jedit.input.TextAreaInputHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
706,org.gjt.sp.jedit.textarea.SelectionManager,jedit.textarea.SelectionManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
707,org.gjt.sp.jedit.syntax.ModeProvider,jedit.syntax.ModeProvider,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Service Provider
708,org.gjt.sp.jedit.options.AppearanceOptionPane,jedit.options.AppearanceOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
709,org.gjt.sp.jedit.menu.DirectoryProvider,jedit.menu.DirectoryProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
710,org.gjt.sp.jedit.bsh.Primitive,jedit.bsh.Primitive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider
711,org.gjt.sp.jedit.browser.BrowserCommandsMenu,jedit.browser.BrowserCommandsMenu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
712,org.gjt.sp.jedit.menu.PluginsProvider,jedit.menu.PluginsProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
713,org.gjt.sp.jedit.options.PluginManagerOptionPane,jedit.options.PluginManagerOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
714,org.gjt.sp.jedit.search.HyperSearchOperationNode,jedit.search.HyperSearchOperationNode,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer
715,org.gjt.sp.jedit.textarea.ChunkCache,jedit.textarea.ChunkCache,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
716,org.gjt.sp.jedit.pluginmgr.PluginListHandler,jedit.pluginmgr.PluginListHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
717,org.gjt.sp.jedit.OperatingSystem,jedit.OperatingSystem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
718,org.gjt.sp.jedit.options.ShortcutsOptionPane,jedit.options.ShortcutsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
719,org.gjt.sp.jedit.EditPane,jedit.EditPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
720,org.gjt.sp.jedit.bsh.Remote,jedit.bsh.Remote,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
721,org.gjt.sp.jedit.menu.RecentFilesProvider,jedit.menu.RecentFilesProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
722,org.gjt.sp.jedit.bsh.org.objectweb.asm.ByteVector,jedit.bsh.org.objectweb.asm.ByteVector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
723,org.gjt.sp.jedit.bsh.BSHBinaryExpression,jedit.bsh.BSHBinaryExpression,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Service Provider
724,org.gjt.sp.jedit.buffer.LineManager,jedit.buffer.LineManager,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Service Provider
725,org.gjt.sp.jedit.textarea.ScrollLayout,jedit.textarea.ScrollLayout,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
726,org.gjt.sp.jedit.SplitConfigParser,jedit.SplitConfigParser,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
727,org.gjt.sp.jedit.pluginmgr.PluginManager,jedit.pluginmgr.PluginManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
728,org.gjt.sp.jedit.gui.SelectLineRange,jedit.gui.SelectLineRange,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
729,org.gjt.sp.jedit.options.ToolBarOptionPane,jedit.options.ToolBarOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
730,org.gjt.sp.jedit.gui.DefaultInputHandler,jedit.gui.DefaultInputHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
731,org.gjt.sp.jedit.syntax.TokenMarker,jedit.syntax.TokenMarker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
732,org.gjt.sp.jedit.indent.DeepIndentRule,jedit.indent.DeepIndentRule,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
733,org.gjt.sp.jedit.options.GeneralOptionPane,jedit.options.GeneralOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder
734,org.gjt.sp.jedit.browser.VFSFileChooserDialog,jedit.browser.VFSFileChooserDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
735,org.gjt.sp.jedit.bsh.BSHAssignment,jedit.bsh.BSHAssignment,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,Service Provider
736,org.gjt.sp.jedit.gui.FilesChangedDialog,jedit.gui.FilesChangedDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Service Provider
737,org.gjt.sp.jedit.bsh.LHS,jedit.bsh.LHS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
738,org.gjt.sp.jedit.bsh.org.objectweb.asm.Type,jedit.bsh.org.objectweb.asm.Type,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
739,org.gjt.sp.jedit.gui.AbbrevEditor,jedit.gui.AbbrevEditor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
740,org.gjt.sp.jedit.options.EncodingsOptionPane,jedit.options.EncodingsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer
741,org.gjt.sp.jedit.menu.RecentDirectoriesProvider,jedit.menu.RecentDirectoriesProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
742,org.gjt.sp.jedit.browser.VFSFileNameField,jedit.browser.VFSFileNameField,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
743,org.gjt.sp.jedit.help.HelpIndex,jedit.help.HelpIndex,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
744,org.gjt.sp.jedit.options.PrintOptionPane,jedit.options.PrintOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
745,org.gjt.sp.jedit.bsh.JavaCharStream,jedit.bsh.JavaCharStream,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Service Provider
746,org.gjt.sp.jedit.gui.ActionBar,jedit.gui.ActionBar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
747,org.gjt.sp.jedit.help.HelpViewer,jedit.help.HelpViewer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
748,org.gjt.sp.jedit.gui.HistoryTextArea,jedit.gui.HistoryTextArea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
749,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,jedit.search.BoyerMooreSearchMatcher,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
750,org.gjt.sp.jedit.gui.OptionsDialog,jedit.gui.OptionsDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
751,org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl,jedit.bsh.classpath.ClassManagerImpl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
752,org.gjt.sp.jedit.Abbrevs,jedit.Abbrevs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
753,org.gjt.sp.jedit.options.EditModesPane,jedit.options.EditModesPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
754,org.gjt.sp.jedit.options.GutterOptionPane,jedit.options.GutterOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
755,org.gjt.sp.jedit.options.BrowserOptionPane,jedit.options.BrowserOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder
756,org.gjt.sp.jedit.bsh.commands.dir,jedit.bsh.commands.dir,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
757,org.gjt.sp.jedit.gui.EditAbbrevDialog,jedit.gui.EditAbbrevDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
758,org.gjt.sp.jedit.bsh.org.objectweb.asm.Label,jedit.bsh.org.objectweb.asm.Label,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
759,org.gjt.sp.jedit.browser.FileCellRenderer,jedit.browser.FileCellRenderer,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Service Provider
760,org.gjt.sp.jedit.textarea.RangeMap,jedit.textarea.RangeMap,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider
761,org.gjt.sp.jedit.gui.CompleteWord,jedit.gui.CompleteWord,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
762,org.gjt.sp.jedit.gui.StyleEditor,jedit.gui.StyleEditor,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider
763,org.gjt.sp.jedit.gui.JEditHistoryModelSaver,jedit.gui.JEditHistoryModelSaver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider
